prodcom	prodcom_descr	cpa	cpa6	cpa6_descr	cpa5	cpa5_descr	class	class_descr	group	group_descr	division	division_descr	section	section_descr
07.10.10.10	Minerali di ferro e loro concentrati. Non agglomerati (escluse le piriti di ferro arrostite)	07.10.10	07.10.10	Minerali di ferro	07.10.1	Minerali di ferro	07.10	Minerali di ferro	07.1	Minerali di ferro	07	Minerali metalliferi	B	PRODOTTI DELLE MINIERE E DELLE CAVE
07.10.10.20	Minerali di ferro e loro concentrati. Agglomerati (escluse le piriti di ferro arrostite)	07.10.10	07.10.10	Minerali di ferro	07.10.1	Minerali di ferro	07.10	Minerali di ferro	07.1	Minerali di ferro	07	Minerali metalliferi	B	PRODOTTI DELLE MINIERE E DELLE CAVE
07.29.11.00	Minerali di rame e loro concentrati	07.29.11	07.29.11	Minerali di rame e loro concentrati	07.29.1	Altri minerali di metalli non ferrosi e loro concentrati	07.29	Altri minerali di metalli non ferrosi e loro concentrati	07.2	Minerali di metalli non ferrosi	07	Minerali metalliferi	B	PRODOTTI DELLE MINIERE E DELLE CAVE
07.29.12.00	Minerali di nichel e loro concentrati	07.29.12	07.29.12	Minerali di nichel e loro concentrati	07.29.1	Altri minerali di metalli non ferrosi e loro concentrati	07.29	Altri minerali di metalli non ferrosi e loro concentrati	07.2	Minerali di metalli non ferrosi	07	Minerali metalliferi	B	PRODOTTI DELLE MINIERE E DELLE CAVE
07.29.13.00	Minerali di alluminio e loro concentrati	07.29.13	07.29.13	Minerali di alluminio e loro concentrati	07.29.1	Altri minerali di metalli non ferrosi e loro concentrati	07.29	Altri minerali di metalli non ferrosi e loro concentrati	07.2	Minerali di metalli non ferrosi	07	Minerali metalliferi	B	PRODOTTI DELLE MINIERE E DELLE CAVE
07.29.14.10	Minerali di argento e loro concentrati	07.29.14	07.29.14	Minerali di metalli preziosi e loro concentrati	07.29.1	Altri minerali di metalli non ferrosi e loro concentrati	07.29	Altri minerali di metalli non ferrosi e loro concentrati	07.2	Minerali di metalli non ferrosi	07	Minerali metalliferi	B	PRODOTTI DELLE MINIERE E DELLE CAVE
07.29.14.20	Altri minerali di metalli preziosi e loro concentrati (esclusi minerali di argento e loro concentrati)	07.29.14	07.29.14	Minerali di metalli preziosi e loro concentrati	07.29.1	Altri minerali di metalli non ferrosi e loro concentrati	07.29	Altri minerali di metalli non ferrosi e loro concentrati	07.2	Minerali di metalli non ferrosi	07	Minerali metalliferi	B	PRODOTTI DELLE MINIERE E DELLE CAVE
07.29.15.10	Minerali di piombo e loro concentrati	07.29.15	07.29.15	Minerali di piombo, zinco e stagno e loro concentrati	07.29.1	Altri minerali di metalli non ferrosi e loro concentrati	07.29	Altri minerali di metalli non ferrosi e loro concentrati	07.2	Minerali di metalli non ferrosi	07	Minerali metalliferi	B	PRODOTTI DELLE MINIERE E DELLE CAVE
07.29.15.20	Minerali di zinco e loro concentrati	07.29.15	07.29.15	Minerali di piombo, zinco e stagno e loro concentrati	07.29.1	Altri minerali di metalli non ferrosi e loro concentrati	07.29	Altri minerali di metalli non ferrosi e loro concentrati	07.2	Minerali di metalli non ferrosi	07	Minerali metalliferi	B	PRODOTTI DELLE MINIERE E DELLE CAVE
07.29.15.30	Minerali di stagno e loro concentrati	07.29.15	07.29.15	Minerali di piombo, zinco e stagno e loro concentrati	07.29.1	Altri minerali di metalli non ferrosi e loro concentrati	07.29	Altri minerali di metalli non ferrosi e loro concentrati	07.2	Minerali di metalli non ferrosi	07	Minerali metalliferi	B	PRODOTTI DELLE MINIERE E DELLE CAVE
07.29.19.05	Minerali di cobalto e loro concentrati	07.29.19	07.29.19	Altri minerali di metalli non ferrosi e loro concentrati n.c.a.	07.29.1	Altri minerali di metalli non ferrosi e loro concentrati	07.29	Altri minerali di metalli non ferrosi e loro concentrati	07.2	Minerali di metalli non ferrosi	07	Minerali metalliferi	B	PRODOTTI DELLE MINIERE E DELLE CAVE
07.29.19.10	Minerali di cromo e loro concentrati	07.29.19	07.29.19	Altri minerali di metalli non ferrosi e loro concentrati n.c.a.	07.29.1	Altri minerali di metalli non ferrosi e loro concentrati	07.29	Altri minerali di metalli non ferrosi e loro concentrati	07.2	Minerali di metalli non ferrosi	07	Minerali metalliferi	B	PRODOTTI DELLE MINIERE E DELLE CAVE
07.29.19.15	Minerali di manganese e loro concentrati, compresi i minerali manganesiferi ferruginosi e loro concentrati con tenore, in peso, di manganese di 20 % o più, sul prodotto secco	07.29.19	07.29.19	Altri minerali di metalli non ferrosi e loro concentrati n.c.a.	07.29.1	Altri minerali di metalli non ferrosi e loro concentrati	07.29	Altri minerali di metalli non ferrosi e loro concentrati	07.2	Minerali di metalli non ferrosi	07	Minerali metalliferi	B	PRODOTTI DELLE MINIERE E DELLE CAVE
07.29.19.20	Minerali di tungsteno e loro concentrati	07.29.19	07.29.19	Altri minerali di metalli non ferrosi e loro concentrati n.c.a.	07.29.1	Altri minerali di metalli non ferrosi e loro concentrati	07.29	Altri minerali di metalli non ferrosi e loro concentrati	07.2	Minerali di metalli non ferrosi	07	Minerali metalliferi	B	PRODOTTI DELLE MINIERE E DELLE CAVE
07.29.19.25	Minerali di molibdeno e loro concentrati. Arrostiti	07.29.19	07.29.19	Altri minerali di metalli non ferrosi e loro concentrati n.c.a.	07.29.1	Altri minerali di metalli non ferrosi e loro concentrati	07.29	Altri minerali di metalli non ferrosi e loro concentrati	07.2	Minerali di metalli non ferrosi	07	Minerali metalliferi	B	PRODOTTI DELLE MINIERE E DELLE CAVE
07.29.19.26	Minerali di molibdeno e loro concentrati. Non arrostiti	07.29.19	07.29.19	Altri minerali di metalli non ferrosi e loro concentrati n.c.a.	07.29.1	Altri minerali di metalli non ferrosi e loro concentrati	07.29	Altri minerali di metalli non ferrosi e loro concentrati	07.2	Minerali di metalli non ferrosi	07	Minerali metalliferi	B	PRODOTTI DELLE MINIERE E DELLE CAVE
07.29.19.30	Minerali di titanio e loro concentrati	07.29.19	07.29.19	Altri minerali di metalli non ferrosi e loro concentrati n.c.a.	07.29.1	Altri minerali di metalli non ferrosi e loro concentrati	07.29	Altri minerali di metalli non ferrosi e loro concentrati	07.2	Minerali di metalli non ferrosi	07	Minerali metalliferi	B	PRODOTTI DELLE MINIERE E DELLE CAVE
